segment_id,clean_name,period,team,baseline_flow,baseline_speed,flow_diff,flow_pct,flow_iqr,flow_q1,flow_q3,speed_diff,speed_pct,speed_iqr,speed_q1,speed_q3,sample_count
connector at M60 J6 anti-clockwise roundabout 200045965,M60 CW,pre,match,0.0,95.9625,0.0,,0.0,0.0,0.0,-0.4125000000000085,-0.429855412270427,10.216250000000002,90.72999999999999,100.94624999999999,42
connector at M60 J6 anti-clockwise roundabout 200045965,M60 CW,post,match,0.0,95.9625,0.0,,0.0,0.0,0.0,0.5074999999999932,0.5288524163084467,8.494374999999991,92.14500000000001,100.639375,62
connector at M60 J6 anti-clockwise roundabout 200045965,M60 CW,post,match,0.0,95.9625,0.0,,0.0,0.0,0.0,-1.2800000000000011,-1.3338543701966925,13.907499999999999,85.8075,99.715,43
connector at M60 J6 anti-clockwise roundabout 200045965,M60 CW,post,match,0.0,95.9625,0.0,,0.0,0.0,0.0,2.9949999999999903,3.1210108115149042,5.981250000000003,96.75375,102.735,19
connector at M60 J6 clockwise roundabout 200045976,M60 CW,pre,match,0.0,97.20125,0.0,,0.0,0.0,0.0,-3.4837500000000006,-3.584058846979849,14.097499999999997,84.4675,98.565,117
connector at M60 J6 clockwise roundabout 200045976,M60 CW,pre,match,0.0,97.20125,0.0,,0.0,0.0,0.0,-13.471249999999998,-13.85913247000424,20.47,72.815,93.285,57
connector at M60 J6 clockwise roundabout 200045976,M60 CW,pre,match,0.0,97.20125,0.0,,0.0,0.0,0.0,-0.7000000000000028,-0.7201553477964562,6.128125000000011,93.648125,99.77625,60
connector at M60 J6 clockwise roundabout 200045976,M60 CW,post,match,0.0,97.20125,0.0,,0.0,0.0,0.0,2.8487499999999955,2.930775067193061,5.585000000000008,96.8825,102.4675,73
connector at M60 J6 clockwise roundabout 200045976,M60 CW,post,match,0.0,97.20125,0.0,,0.0,0.0,0.0,3.1812499999999915,3.2728488573963723,7.1312500000000085,96.5775,103.70875000000001,35
connector at M60 J6 clockwise roundabout 200045976,M60 CW,post,match,0.0,97.20125,0.0,,0.0,0.0,0.0,2.7325000000000017,2.8111778397911564,4.425625000000011,97.8625,102.28812500000001,38
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,pre,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,-0.9550000000000125,-1.0690398231326923,5.582499999999996,85.8675,91.45,105
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,pre,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,-2.4225000000000136,-2.7117790277894533,7.6187499999999915,82.83000000000001,90.44875,56
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,pre,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,0.9024999999999892,1.010270618196053,4.6825000000000045,86.9825,91.665,49
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,post,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,-0.3850000000000051,-0.43097416953516926,5.297500000000014,86.32374999999999,91.62125,59
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,post,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,-1.0587500000000176,-1.1851789662217194,5.851249999999993,85.670625,91.521875,32
connector at M60 J8 anti-clockwise roundabout 200045957,M60 CW,post,match,0.0,89.33250000000001,0.0,,0.0,0.0,0.0,0.1524999999999892,0.17071054767300722,3.5400000000000063,88.08125,91.62125,27
connector at M60 J8 clockwise roundabout 200045969,M60 CW,pre,match,0.0,100.8025,0.0,,0.0,0.0,0.0,-16.32625,-16.196274893975847,46.411249999999995,48.595,95.00625,132
connector at M60 J8 clockwise roundabout 200045969,M60 CW,pre,match,0.0,100.8025,0.0,,0.0,0.0,0.0,-50.72874999999999,-50.32489273579523,56.36,33.550625,89.910625,66
connector at M60 J8 clockwise roundabout 200045969,M60 CW,pre,match,0.0,100.8025,0.0,,0.0,0.0,0.0,-9.034999999999997,-8.96307135239701,13.18312499999999,83.75562500000001,96.93875,66
connector at M60 J8 clockwise roundabout 200045969,M60 CW,post,match,0.0,100.8025,0.0,,0.0,0.0,0.0,2.188750000000013,2.171325115944558,14.109999999999985,95.74000000000001,109.85,132
connector at M60 J8 clockwise roundabout 200045969,M60 CW,post,match,0.0,100.8025,0.0,,0.0,0.0,0.0,0.29625000000000057,0.29389152054760603,12.935625000000002,94.113125,107.04875,66
connector at M60 J8 clockwise roundabout 200045969,M60 CW,post,match,0.0,100.8025,0.0,,0.0,0.0,0.0,5.288750000000007,5.2466456685102125,14.621875000000003,97.178125,111.8,66
fast slip link at M60 anticlockwise - B5214 junction roundabout 200106652,M60 CW,pre,match,0.0,58.4025,0.0,,0.0,0.0,0.0,3.3474999999999966,5.731775180856977,4.547499999999999,59.3,63.8475,124
fast slip link at M60 anticlockwise - B5214 junction roundabout 200106652,M60 CW,pre,match,0.0,58.4025,0.0,,0.0,0.0,0.0,4.097499999999997,7.015966782243904,4.393749999999997,59.499375,63.893125,60
